,sn,Unnamed: 0,hindi,english
0,0,0,मैं 17039,I 17039
1,1,1,नहीं 15848,No 15848
2,2,2,हैं 12526,Are 12526
3,3,3,में 12395,In 12395
4,4,4,एक 12014,A 12014
5,5,5,आप 10744,You 10744
6,6,6,लिए 9698,For 9698
7,7,7,और 9033,And 9033
8,8,8,यह 8896,This 8896
9,9,9,से 8696,8696 from
10,10,10,की 8206,Of 8206
11,11,11,क्या 7557,What 7557
12,12,12,कि 7460,That 7460
13,13,13,तुम 7330,You 7330
14,14,14,हो 6893,Ho 6893
15,15,15,कर 6867,Tax 6867
16,16,16,मुझे 6307,Me 6307
17,17,17,को 6224,6224
18,18,18,हम 5726,We 5726
19,19,19,था 5637,Was 5637
20,20,20,वह 5361,That 5361
21,21,21,पर 5051,5051 on
22,22,22,हूँ 4753,I am 4753
23,23,23,रहे 4388,Stay 4388
24,24,24,भी 4263,Also 4263
25,25,25,रहा 4137,Stayed 4137
26,26,26,का 4024,4024 of
27,27,27,अपने 3859,Your 3859
28,28,28,कुछ 3504,Some 3504
29,29,29,तो 3445,So 3445
30,30,30,गया 3281,Gaya 3281
31,31,31,इस 3237,This 3237
32,32,32,मेरे 3182,My 3182
33,33,33,ठीक 3170,Ok 3170
34,34,34,करने 3084,To do 3084
35,35,35,किया 2891,Did 2891
36,36,36,साथ 2804,With 2804
37,37,37,उसे 2691,Her 2691
38,38,38,हाँ 2493,Yes 2493
39,39,39,वे 2484,They 2484
40,40,40,सकते 2442,Can 2442
41,41,41,लेकिन 2438,But 2438
42,42,42,यहाँ 2419,2419 here
43,43,43,तुम्हें 2383,You 2383
44,44,44,कोई 2304,No 2304
45,45,45,तरह 2293,Like 2293
46,46,46,अब 2290,Now 2290
47,47,47,पता 2238,Address 2238
48,48,48,होगा 2182,Will be 2182
49,49,49,बहुत 2064,Very 2064
50,50,50,बात 2047,Talk 2047
51,51,51,सकता 2041,Can 2041
52,52,52,जाओ 1987,Go 1987
53,53,53,ही 1929,Hee 1929
54,54,54,दिया 1910,Diya 1910
55,55,55,करना 1891,Do 1891
56,56,56,जा 1763,Ja 1763
57,57,57,मेरी 1689,My 1689
58,58,58,सब 1684,All 1684
59,59,59,बारे 1660,About 1660
60,60,60,लगता 1645,Looks 1645
61,61,61,कहा 1636,Said 1636
62,62,62,जो 1563,Which 1563
63,63,63,वहाँ 1526,1526 there
64,64,64,जब 1516,When 1516
65,65,65,इसे 1508,It 1508
66,66,66,अच्छा 1471,Good 1471
67,67,67,चाहिए 1463,Should 1463
68,68,68,बाहर 1448,Out 1448
69,69,69,करो 1400,Do 1400
70,70,70,क्यों 1387,Why 1387
71,71,71,अपनी 1362,Your 1362
72,72,72,थे 1358,Were 1358
73,73,73,चलो 1353,Come on 1353
74,74,74,दो 1353,Two 1353
75,75,75,ले 1351,Le 1351
76,76,76,किसी 1330,A 1330
77,77,77,फिर 1312,Then 1312
78,78,78,काम 1311,Work 1311
79,79,79,अगर 1296,If 1296
80,80,80,ये 1294,These 1294
81,81,81,कैसे 1281,How 1281
82,82,82,करते 1277,Do 1277
83,83,83,पहले 1265,First 1265
84,84,84,बस 1263,Just 1263
85,85,85,चाहते 1254,Want 1254
86,86,86,जाएगा 1241,Will go 1241
87,87,87,आदमी 1238,Man 1238
88,88,88,कभी 1237,Ever 1237
89,89,89,समय 1226,Time 1226
90,90,90,वापस 1219,Back 1219
91,91,91,हमें 1211,Let us 1211
92,92,92,रही 1206,Ray 1206
93,93,93,आ 1197,Come 1197
94,94,94,तक 1161,Up to 1161
95,95,95,हमारे 1104,Our 1104
96,96,96,मेरा 1092,My 1092
97,97,97,रूप 1077,Roop 1077
98,98,98,मैंने 1071,I 1071
99,99,99,करता 1052,Does 1052
100,100,100,या 1048,Or 1048
101,101,101,अभी 1039,Now 1039
102,102,102,मिल 1025,Mill 1025
103,103,103,चाहता 1016,Wants 1016
104,104,104,घर 1013,Home 1013
105,105,105,उसके 1009,His 1009
106,106,106,सभी 1006,All 1006
107,107,107,उस 989,That 989
108,108,108,मत 972,Do not 972
109,109,109,आपको 963,You can give you 963
110,110,110,जाना 958,Go 958
111,111,111,अरे 950,Hey 950
112,112,112,सिर्फ 941,Just 941
113,113,113,बंद 920,Closed 920
114,114,114,ओह 916,Oh 916
115,115,115,उन्हें 909,They 909
116,116,116,सही 904,Right 904
117,117,117,हूं 904,Hoon 904
118,118,118,थी 903,Thi 903
119,119,119,देखो 903,Look 903
120,120,120,आँखें 335,eyes 335
121,121,121,तुम्हारे 856,Your 856
122,122,122,प्यार 837,Love 837
123,123,123,वो 833,That 833
124,124,124,जरूरत 833,Need 833
125,125,125,लोगों 833,People 833
126,126,126,हुआ 827,Happened 827
127,127,127,करें 822,Do 822
128,128,128,ऐसा 793,Such 793
129,129,129,उन्होंने 789,He 789
130,130,130,दिन 789,Day 789
131,131,131,न 783,No 783
132,132,132,बाद 780,After 780
133,133,133,कौन 768,Who 768
134,134,134,हर 766,Every 766
135,135,135,पास 760,Pass 760
136,136,136,दे 749,Give 749
137,137,137,नीचे 730,Below 730
138,138,138,देखा 725,Saw 725
139,139,139,जाता 718,Goes 718
140,140,140,बार 717,Bar 717
141,141,141,कृपया 708,Please 708
142,142,142,धन्यवाद 704,Thanks 704
143,143,143,पिता 701,Father 701
144,144,144,करेंगे 701,Will do 701
145,145,145,भगवान 700,God 700
146,146,146,क्योंकि 679,Because 679
147,147,147,है 38292,Is 38292
148,148,148,काम में लगाना 25171,",Appoint 25171"
149,149,149,के 19078,19078
150,150,150,मैं 17039,I 17039
151,151,151,नहीं 15848,No 15848
152,152,152,हैं 12526,Are 12526
153,153,153,में 12395,In 12395
154,154,154,एक 12014,A 12014
155,155,155,आप 10744,You 10744
156,156,156,लिए 9698,For 9698
157,157,157,और 9033,And 9033
158,158,158,यह 8896,This 8896
159,159,159,से 8696,8696 from
